ID,Sex,Occasion1,Occasion2,Occasion3,Occasion4,Occasion5,Occasion6,Occasion7
1,Female,0,0,0,0,0,1,0
2,Female,0,0,0,0,0,1,0
3,Female,0,0,0,0,0,1,0
4,Female,0,0,0,0,0,1,0
5,Female,0,0,0,0,0,1,0
6,Female,0,0,0,0,0,1,0
7,Female,0,0,0,0,0,1,0
8,Female,0,0,0,0,0,1,0
9,Female,0,0,0,0,0,1,0
10,Female,0,0,0,0,0,1,0
11,Female,0,0,0,0,0,1,0
12,Male,0,0,0,0,0,1,0
13,Male,0,0,0,0,0,1,0
14,Male,0,0,0,0,0,1,0
15,Male,0,0,0,0,0,1,0
16,Male,0,0,0,0,0,1,0
17,Male,0,0,0,0,0,1,0
18,Male,0,0,0,0,0,1,0
19,Male,0,0,0,0,0,1,0
20,Male,0,0,0,0,0,1,0
21,Male,0,0,0,0,0,1,0
22,Male,0,0,0,0,0,1,0
23,Female,0,0,0,0,0,1,1
24,Female,0,0,0,0,0,1,1
25,Female,0,0,0,0,0,1,1
26,Female,0,0,0,0,0,1,1
27,Female,0,0,0,0,0,1,1
28,Female,0,0,0,0,0,1,1
29,Female,0,0,0,0,0,1,1
30,Female,0,0,0,0,0,1,1
31,Female,0,0,0,0,0,1,1
32,Female,0,0,0,0,0,1,1
33,Female,0,0,0,0,0,1,1
34,Male,0,0,0,0,0,1,1
35,Male,0,0,0,0,0,1,1
36,Male,0,0,0,0,0,1,1
37,Male,0,0,0,0,0,1,1
38,Male,0,0,0,0,0,1,1
39,Male,0,0,0,0,0,1,1
40,Male,0,0,0,0,0,1,1
41,Male,0,0,0,0,0,1,1
42,Male,0,0,0,0,0,1,1
43,Male,0,0,0,0,0,1,1
44,Male,0,0,0,0,0,1,1
45,Male,0,0,0,0,0,1,1
46,Female,0,0,0,0,1,0,0
47,Female,0,0,0,0,1,0,0
48,Female,0,0,0,0,1,0,0
49,Female,0,0,0,0,1,0,0
50,Female,0,0,0,0,1,0,0
51,Female,0,0,0,0,1,0,0
52,Female,0,0,0,0,1,0,0
53,Male,0,0,0,0,1,0,0
54,Male,0,0,0,0,1,0,0
55,Male,0,0,0,0,1,0,0
56,Male,0,0,0,0,1,0,0
57,Male,0,0,0,0,1,0,0
58,Male,0,0,0,0,1,0,0
59,Male,0,0,0,0,1,0,0
60,Male,0,0,0,0,1,0,0
61,Male,0,0,0,0,1,0,0
62,Female,0,0,0,0,1,1,0
63,Female,0,0,0,0,1,1,0
64,Female,0,0,0,0,1,1,0
65,Female,0,0,0,0,1,1,0
66,Female,0,0,0,0,1,1,0
67,Female,0,0,0,0,1,1,0
68,Male,0,0,0,0,1,1,0
69,Male,0,0,0,0,1,1,0
70,Male,0,0,0,0,1,1,0
71,Female,0,0,0,0,1,1,1
72,Female,0,0,0,0,1,1,1
73,Female,0,0,0,0,1,1,1
74,Female,0,0,0,0,1,1,1
75,Female,0,0,0,0,1,1,1
76,Female,0,0,0,0,1,1,1
77,Male,0,0,0,0,1,1,1
78,Male,0,0,0,0,1,1,1
79,Male,0,0,0,0,1,1,1
80,Male,0,0,0,0,1,1,1
81,Male,0,0,0,0,1,1,1
82,Male,0,0,0,0,1,1,1
83,Male,0,0,0,0,1,1,1
84,Male,0,0,0,0,1,1,1
85,Male,0,0,0,0,1,1,1
86,Male,0,0,0,0,1,1,1
87,Female,0,0,0,1,0,0,0
88,Female,0,0,0,1,0,0,0
89,Female,0,0,0,1,0,0,0
90,Female,0,0,0,1,0,0,0
91,Female,0,0,0,1,0,0,0
92,Female,0,0,0,1,0,0,0
93,Female,0,0,0,1,0,0,0
94,Female,0,0,0,1,0,0,0
95,Female,0,0,0,1,0,0,0
96,Female,0,0,0,1,0,0,0
97,Male,0,0,0,1,0,0,0
98,Male,0,0,0,1,0,0,0
99,Male,0,0,0,1,0,0,0
100,Male,0,0,0,1,0,0,0
101,Male,0,0,0,1,0,0,0
102,Male,0,0,0,1,0,0,0
103,Female,0,0,0,1,0,0,1
104,Male,0,0,0,1,0,0,1
105,Female,0,0,0,1,0,1,1
106,Female,0,0,0,1,1,0,0
107,Female,0,0,0,1,1,0,0
108,Female,0,0,0,1,1,0,0
109,Female,0,0,0,1,1,0,0
110,Female,0,0,0,1,1,0,0
111,Male,0,0,0,1,1,0,0
112,Male,0,0,0,1,1,0,0
113,Male,0,0,0,1,1,0,0
114,Male,0,0,0,1,1,0,0
115,Male,0,0,0,1,1,0,0
116,Male,0,0,0,1,1,0,0
117,Female,0,0,0,1,1,1,0
118,Female,0,0,0,1,1,1,0
119,Female,0,0,0,1,1,1,0
120,Female,0,0,0,1,1,1,0
121,Male,0,0,0,1,1,1,0
122,Male,0,0,0,1,1,1,0
123,Male,0,0,0,1,1,1,0
124,Female,0,0,0,1,1,1,1
125,Female,0,0,0,1,1,1,1
126,Male,0,0,0,1,1,1,1
127,Male,0,0,0,1,1,1,1
128,Male,0,0,0,1,1,1,1
129,Male,0,0,0,1,1,1,1
130,Male,0,0,0,1,1,1,1
131,Male,0,0,0,1,1,1,1
132,Female,0,0,1,0,0,0,0
133,Female,0,0,1,0,0,0,0
134,Female,0,0,1,0,0,0,0
135,Female,0,0,1,0,0,0,0
136,Female,0,0,1,0,0,0,0
137,Female,0,0,1,0,0,0,0
138,Female,0,0,1,0,0,0,0
139,Female,0,0,1,0,0,0,0
140,Female,0,0,1,0,0,0,0
141,Female,0,0,1,0,0,0,0
142,Female,0,0,1,0,0,0,0
143,Female,0,0,1,0,0,0,0
144,Female,0,0,1,0,0,0,0
145,Female,0,0,1,0,0,0,0
146,Female,0,0,1,0,0,0,0
147,Female,0,0,1,0,0,0,0
148,Female,0,0,1,0,0,0,0
149,Female,0,0,1,0,0,0,0
150,Male,0,0,1,0,0,0,0
151,Male,0,0,1,0,0,0,0
152,Male,0,0,1,0,0,0,0
153,Male,0,0,1,0,0,0,0
154,Male,0,0,1,0,0,0,0
155,Male,0,0,1,0,0,0,0
156,Male,0,0,1,0,0,0,0
157,Male,0,0,1,0,0,0,0
158,Male,0,0,1,0,0,0,0
159,Male,0,0,1,0,0,0,0
160,Male,0,0,1,0,0,0,0
161,Male,0,0,1,0,1,1,0
162,Female,0,0,1,1,0,0,0
163,Female,0,0,1,1,0,0,0
164,Female,0,0,1,1,0,0,0
165,Female,0,0,1,1,0,0,0
166,Male,0,0,1,1,0,0,0
167,Male,0,0,1,1,0,0,0
168,Male,0,0,1,1,0,0,0
169,Male,0,0,1,1,0,0,0
170,Male,0,0,1,1,0,0,0
171,Male,0,0,1,1,0,0,0
172,Male,0,0,1,1,0,0,0
173,Male,0,0,1,1,0,0,0
174,Female,0,0,1,1,1,0,0
175,Female,0,0,1,1,1,0,0
176,Male,0,0,1,1,1,0,0
177,Male,0,0,1,1,1,0,0
178,Male,0,0,1,1,1,0,0
179,Male,0,0,1,1,1,0,0
180,Female,0,0,1,1,1,1,0
181,Male,0,0,1,1,1,1,0
182,Female,0,0,1,1,1,1,1
183,Female,0,0,1,1,1,1,1
184,Female,0,1,0,0,0,0,0
185,Female,0,1,0,0,0,0,0
186,Female,0,1,0,0,0,0,0
187,Female,0,1,0,0,0,0,0
188,Female,0,1,0,0,0,0,0
189,Female,0,1,0,0,0,0,0
190,Female,0,1,0,0,0,0,0
191,Female,0,1,0,0,0,0,0
192,Female,0,1,0,0,0,0,0
193,Female,0,1,0,0,0,0,0
194,Female,0,1,0,0,0,0,0
195,Female,0,1,0,0,0,0,0
196,Female,0,1,0,0,0,0,0
197,Female,0,1,0,0,0,0,0
198,Female,0,1,0,0,0,0,0
199,Female,0,1,0,0,0,0,0
200,Female,0,1,0,0,0,0,0
201,Female,0,1,0,0,0,0,0
202,Male,0,1,0,0,0,0,0
203,Male,0,1,0,0,0,0,0
204,Male,0,1,0,0,0,0,0
205,Male,0,1,0,0,0,0,0
206,Male,0,1,0,0,0,0,0
207,Male,0,1,0,0,0,0,0
208,Male,0,1,0,0,0,0,0
209,Male,0,1,0,0,0,0,0
210,Male,0,1,0,0,0,0,0
211,Male,0,1,0,0,0,0,0
212,Male,0,1,0,0,0,0,0
213,Female,0,1,1,0,0,0,0
214,Female,0,1,1,0,0,0,0
215,Female,0,1,1,0,0,0,0
216,Female,0,1,1,0,0,0,0
217,Male,0,1,1,0,0,0,0
218,Male,0,1,1,0,0,0,0
219,Male,0,1,1,0,0,0,0
220,Male,0,1,1,0,0,0,0
221,Male,0,1,1,0,0,0,0
222,Male,0,1,1,0,0,0,0
223,Male,0,1,1,0,0,0,0
224,Female,0,1,1,0,1,1,0
225,Female,0,1,1,1,0,0,0
226,Male,0,1,1,1,0,0,0
227,Female,0,1,1,1,1,0,0
228,Female,0,1,1,1,1,0,0
229,Male,0,1,1,1,1,0,0
230,Female,0,1,1,1,1,1,0
231,Female,0,1,1,1,1,1,1
232,Female,0,1,1,1,1,1,1
233,Female,1,0,0,0,0,0,0
234,Female,1,0,0,0,0,0,0
235,Female,1,0,0,0,0,0,0
