ID,Sex,Occasion1,Occasion2,Occasion3,Occasion4,Occasion5,Occasion6,Occasion7
41,Female,0,0,0,0,0,1,0
42,Female,0,0,0,0,0,1,0
43,Female,0,0,0,0,0,1,0
44,Female,0,0,0,0,0,1,0
45,Female,0,0,0,0,0,1,0
46,Female,0,0,0,0,0,1,0
47,Female,0,0,0,0,0,1,0
48,Female,0,0,0,0,0,1,0
49,Female,0,0,0,0,0,1,0
50,Female,0,0,0,0,0,1,0
51,Female,0,0,0,0,0,1,0
52,Male,0,0,0,0,0,1,0
53,Male,0,0,0,0,0,1,0
54,Male,0,0,0,0,0,1,0
55,Male,0,0,0,0,0,1,0
56,Male,0,0,0,0,0,1,0
57,Male,0,0,0,0,0,1,0
58,Male,0,0,0,0,0,1,0
59,Male,0,0,0,0,0,1,0
60,Male,0,0,0,0,0,1,0
61,Male,0,0,0,0,0,1,0
62,Male,0,0,0,0,0,1,0
63,Female,0,0,0,0,0,1,1
64,Female,0,0,0,0,0,1,1
65,Female,0,0,0,0,0,1,1
66,Female,0,0,0,0,0,1,1
67,Female,0,0,0,0,0,1,1
68,Female,0,0,0,0,0,1,1
69,Female,0,0,0,0,0,1,1
70,Female,0,0,0,0,0,1,1
71,Female,0,0,0,0,0,1,1
72,Female,0,0,0,0,0,1,1
73,Female,0,0,0,0,0,1,1
74,Male,0,0,0,0,0,1,1
75,Male,0,0,0,0,0,1,1
76,Male,0,0,0,0,0,1,1
77,Male,0,0,0,0,0,1,1
78,Male,0,0,0,0,0,1,1
79,Male,0,0,0,0,0,1,1
80,Male,0,0,0,0,0,1,1
81,Male,0,0,0,0,0,1,1
82,Male,0,0,0,0,0,1,1
83,Male,0,0,0,0,0,1,1
84,Male,0,0,0,0,0,1,1
85,Male,0,0,0,0,0,1,1
86,Female,0,0,0,0,1,0,0
87,Female,0,0,0,0,1,0,0
88,Female,0,0,0,0,1,0,0
89,Female,0,0,0,0,1,0,0
90,Female,0,0,0,0,1,0,0
91,Female,0,0,0,0,1,0,0
92,Female,0,0,0,0,1,0,0
93,Male,0,0,0,0,1,0,0
94,Male,0,0,0,0,1,0,0
95,Male,0,0,0,0,1,0,0
96,Male,0,0,0,0,1,0,0
